formula,mu_b,samples,sources,dxmag_type,n_elements
AlCrRh,0.0,3,dxmag,half,3.0
AlCrRh2,2.334411,9,dxmag,inverse,3.0
AlCrRu,0.70757595,9,dxmag,half,3.0
AlCrRu2,0.9456731500000001,8,dxmag,inverse,3.0
AlCrW,0.2099772,5,dxmag,half,3.0
AlCrW2,0.0,7,dxmag,inverse,3.0
AlCu2,0.0,1,dxmag,half,2.0
AlCu2Ag,0.0,6,dxmag,full,3.0
AlCu2Au,0.0,6,dxmag,full,3.0
AlCu2Ir,0.0,5,dxmag,full,3.0
AlCu2Mo,0.980890375,8,dxmag,inverse,3.0
AlCu2Ni,0.0,6,dxmag,full,3.0
AlCu2Os,0.0,7,dxmag,full,3.0
AlCu2Pd,0.0,5,dxmag,full,3.0
AlCu2Pt,0.0,6,dxmag,full,3.0
AlCu2Re,0.004196775,14,dxmag,full,3.0
AlCu2Rh,0.0,5,dxmag,inverse,3.0
AlCu2Ru,0.0,4,dxmag,full,3.0
AlCu2W,0.0338239,10,dxmag,full,3.0
AlCu3,0.0,3,dxmag,full,2.0
AlCuAg,0.0,5,dxmag,half,3.0
AlCuAg2,0.0,4,dxmag,inverse,3.0
AlCuAu,0.0,3,dxmag,half,3.0
AlCuAu2,0.0,4,dxmag,inverse,3.0
AlCuIr,0.0,3,dxmag,half,3.0
AlCuIr2,5e-08,7,dxmag,inverse,3.0
AlCuMo,0.19411335,12,dxmag,half,3.0
AlCuMo2,0.0,7,dxmag,full,3.0
AlCuNi,0.0,3,dxmag,half,3.0
AlCuNi2,0.0,5,dxmag,full,3.0
AlCuOs,0.0006578,6,dxmag,half,3.0
AlCuOs2,0.0,4,dxmag,full,3.0
AlCuPd,0.0,4,dxmag,half,3.0
AlCuPd2,0.0,5,dxmag,inverse,3.0
AlCuPt,0.0,3,dxmag,half,3.0
AlCuPt2,0.0,7,dxmag,inverse,3.0
AlCuRe,0.9364387000000001,8,dxmag,half,3.0
AlCuRe2,0.0,4,dxmag,full,3.0
AlCuRh,0.0,3,dxmag,half,3.0
AlCuRh2,0.8285609,5,dxmag,inverse,3.0
AlCuRu,0.0,3,dxmag,half,3.0
AlCuRu2,0.0,4,dxmag,full,3.0
AlCuW,0.0,5,dxmag,half,3.0
AlCuW2,0.0,6,dxmag,full,3.0
AlFe2,0.51022955,4,dxmag,half,2.0
AlFe2Ag,4.7193944000000005,12,dxmag,inverse,3.0
AlFe2Au,4.875603575,12,dxmag,full,3.0
AlFe2Co,5.314964725,10,dxmag,full,3.0
AlFe2Cu,4.2570457,7,dxmag,full,3.0
AlFe2Ir,0.1589903,7,dxmag,inverse,3.0
AlFe2Mo,0.8126496,7,dxmag,inverse,3.0
AlFe2Ni,4.532761,13,dxmag,full,3.0
AlFe2Os,4.11303955,9,dxmag,full,3.0
AlFe2Pd,4.8732793,10,dxmag,full,3.0
AlFe2Pt,4.895312375,8,dxmag,full,3.0
AlFe2Re,1.787637425,8,dxmag,full,3.0
AlFe2Rh,5.060185225,10,dxmag,full,3.0
AlFe2Ru,5.034754875,8,dxmag,full,3.0
AlFe2W,0.9101607,5,dxmag,inverse,3.0
AlFe3,5.9350676,3,dxmag,full,2.0
AlFeAg,0.0,7,dxmag,half,3.0
AlFeAg2,2.71464305,7,dxmag,full,3.0
AlFeAu,2.56925545,9,dxmag,half,3.0
AlFeAu2,2.80709815,7,dxmag,full,3.0
AlFeCo,2.64954555,6,dxmag,half,3.0
AlFeCo2,4.808531425,10,dxmag,inverse,3.0
AlFeCu,2.16598015,7,dxmag,half,3.0
AlFeCu2,2.306922025,8,dxmag,full,3.0
AlFeIr,0.0,2,dxmag,half,3.0
AlFeIr2,2.449087325,10,dxmag,inverse,3.0
AlFeMo,0.626096,9,dxmag,half,3.0
AlFeMo2,0.000807475,6,dxmag,inverse,3.0
AlFeNi,2.8196117750000003,6,dxmag,half,3.0
AlFeNi2,3.21014955,9,dxmag,inverse,3.0
AlFeOs,0.0,3,dxmag,half,3.0
AlFeOs2,2.104606125,8,dxmag,inverse,3.0
AlFePd,2.704674,5,dxmag,half,3.0
AlFePd2,3.03974935,8,dxmag,inverse,3.0
AlFePt,2.7042504,5,dxmag,half,3.0
AlFePt2,3.2636724,9,dxmag,full,3.0
AlFeRe,0.0,3,dxmag,half,3.0
AlFeRe2,0.7276754,9,dxmag,inverse,3.0
AlFeRh,2.8208259,3,dxmag,half,3.0
AlFeRh2,3.21939855,6,dxmag,inverse,3.0
AlFeRu,0.0,2,dxmag,half,3.0
AlFeRu2,2.559513375,10,dxmag,inverse,3.0
AlFeW,0.29313335,9,dxmag,half,3.0
AlFeW2,0.0009082,7,dxmag,inverse,3.0
AlIr2,0.0,1,dxmag,half,2.0
AlIr2Au,0.0001193,7,dxmag,inverse,3.0
AlIr2Os,1e-07,10,dxmag,full,3.0
AlIr2Pd,0.0,4,dxmag,full,3.0
AlIr2Pt,0.0,6,dxmag,full,3.0
AlIr2Rh,7e-07,7,dxmag,inverse,3.0
AlIr2Ru,0.0,5,dxmag,inverse,3.0
